consumer_score_tier,interaction_score_tier,product_quotation_score_tier,intent,has_action_milestone,stage_velocity,historical_deals_won,is_repeat_customer,industry_close_rate,historical_avg_sentiment,total_interactions,is_multi_channel,recency_bucket,engagement_depth,any_followup_responded,followup_response_rate,agent_response_ratio,quotation_sent,is_enterprise_deal,pipeline_stage,days_in_pipeline,pipeline_velocity,total_price_with_tax,product_category,capacity_bin,installation_is_free,quotation_revision_count,quotation_sent_via,lead_completeness,lead_source,sale_closed
0.5,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.54375,0.5111111111111112,0.6666666666666666,1.0,0.33,0.4814814814814814,0.0,0.1533066132264529,0.32499999999999996,1.0,1.0,1.0,0.7039106145251397,0.01274556780067082,0.5495649206620031,0,8,0.0,0.3333333333333333,0.0,1.0,0.5,0.7744
0.0,0.0,0.0,0.8,1.0,0.16486486486486482,0.0,0.0,0.7156250000000002,0.4333333333333334,0.3333333333333333,0.0,0.33,0.5185185185185185,0.0,0.02004008016032064,0.04749999999999999,0.0,0.0,0.2,0.2458100558659218,0.023862002874940107,0.016379457430472616,1,6,1.0,0.0,0.5,0.0,0.6,0.2818
0.0,0.0,0.0,0.4,0.0,0.13243243243243238,0.0,0.0,0.703125,0.5444444444444444,0.5555555555555556,1.0,1.0,0.40740740740740744,0.0,0.05210420841683366,0.6724999999999999,0.0,0.0,0.1,0.1675977653631285,0.008768567321514133,0.052721378604333735,1,1,1.0,0.0,0.5,1.0,0.6,0.326
1.0,1.0,1.0,0.6,1.0,0.0,0.5,1.0,0.6937500000000001,0.6222222222222222,1.0,1.0,0.67,0.4814814814814814,1.0,0.2925851703406813,0.0,1.0,0.0,1.0,0.7318435754189945,0.013847628174413037,0.04282545640675653,0,5,0.0,0.6666666666666667,0.5,1.0,0.6,0.951
0.5,0.5,0.5,0.4,1.0,0.03513513513513514,0.0,0.0,0.5249999999999999,0.8222222222222222,0.38888888888888884,0.0,1.0,0.4814814814814814,1.0,0.3286573146292585,0.36250000000000004,1.0,0.0,1.0,0.6759776536312849,0.016003833253473886,0.05306261730080191,0,5,0.0,0.6666666666666667,1.0,1.0,0.6,0.8466
0.5,0.5,0.5,0.3,1.0,0.07297297297297298,0.0,0.0,0.8406250000000004,0.8333333333333333,0.38888888888888884,0.0,1.0,0.5555555555555555,1.0,0.20641282565130256,0.8425,1.0,0.0,1.0,0.6256983240223464,0.02788691902252037,0.10936700221805153,0,5,0.0,0.0,1.0,1.0,0.5,0.8283
0.0,0.5,0.5,0.4,1.0,0.44594594594594583,0.0,0.0,0.26249999999999996,0.3888888888888889,1.0,1.0,0.33,0.5185185185185185,1.0,0.3406813627254509,0.7625,1.0,0.0,0.4,0.30726256983240224,0.020651653090560614,0.10595461525336973,0,4,0.0,0.0,0.5,0.0,0.8,0.3275
0.5,0.5,0.5,1.0,1.0,0.10540540540540536,0.0,0.0,0.47187500000000027,0.6,0.5555555555555556,1.0,0.67,0.40740740740740744,0.0,0.0781563126252505,0.9974999999999998,1.0,1.0,1.0,0.670391061452514,0.019789171058936274,0.27316157652277767,0,8,0.0,0.3333333333333333,0.0,0.0,0.6,0.8504
0.5,0.0,1.0,0.95,1.0,0.03513513513513514,0.875,1.0,0.640625,0.12222222222222222,0.38888888888888884,0.0,0.67,0.2592592592592592,0.0,0.06112224448897795,0.3600000000000001,1.0,1.0,1.0,0.659217877094972,0.021609966459032105,0.27316157652277767,0,8,0.0,0.6666666666666667,0.0,1.0,0.5,0.865
0.0,0.0,0.0,0.2,0.0,0.40810810810810805,0.0,0.0,0.4125000000000001,0.6666666666666666,0.6666666666666666,1.0,1.0,0.37037037037037035,0.0,0.05210420841683366,0.6175000000000002,0.0,0.0,0.1,0.111731843575419,0.038476281744130335,0.0,1,6,1.0,0.0,0.5,0.0,0.6,0.4256
