product_model,product_category,product_type,product_complexity,capacity_value,capacity_unit,capacity_bin,product_x_capacity,product_base_price_aed,product_vat_percent,quantity,subtotal,tax_amount,total_price_with_tax,price_tier,capacity_price_ratio,installation_charge,installation_is_free,quotation_sent,quotation_revision_count,quotation_sent_via,has_feedback,is_enterprise_deal,industry_close_rate,pipeline_stage,is_repeat_customer,days_in_pipeline,pipeline_velocity,sale_closed
8,0,0,1.0,0.0015834652887740644,2,8,8,0.8248325605358063,0.0,0.07142857142857142,0.5495649206620031,0.5495649206620031,0.5495649206620031,1.0,1.8364447675240542e-05,1.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.54375,1.0,0.0,0.7039106145251397,0.01274556780067082,0.7744
20,1,4,0.0,0.0017918159846653885,1,6,20,0.002060793405461102,0.0,0.2857142857142857,0.016379457430472616,0.016379457430472616,0.016379457430472616,0.0,0.0008236579175512006,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.7156250000000002,0.2,0.0,0.2458100558659218,0.023862002874940107,0.2818
15,1,3,1.0,0.005125427118926576,1,1,15,0.011334363730036063,0.0,0.5,0.05272137860433373,0.05272137860433373,0.052721378604333735,0.5,0.0008019677655736764,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.703125,0.1,0.0,0.1675977653631285,0.008768567321514133,0.326
2,0,6,0.5,0.0,2,5,3,0.03657908294693457,0.0,0.14285714285714285,0.04282545640675653,0.04282545640675653,0.04282545640675653,0.5,7.869680693830678e-06,0.6666666666666667,0.0,1.0,0.6666666666666667,0.5,1.0,0.0,0.6937500000000001,1.0,1.0,0.7318435754189945,0.013847628174413037,0.951
5,0,6,0.5,4.1670139178264846e-05,2,5,6,0.04688304997424008,0.0,0.14285714285714285,0.05306261730080191,0.05306261730080191,0.05306261730080191,0.5,1.14475182307055e-05,0.6666666666666667,0.0,1.0,0.6666666666666667,1.0,1.0,0.0,0.5249999999999999,1.0,0.0,0.6759776536312849,0.016003833253473886,0.8466
10,0,6,0.5,0.00012501041753479455,2,5,11,0.1035548686244204,0.0,0.14285714285714285,0.10936700221805153,0.10936700221805153,0.10936700221805153,0.5,8.227799137652576e-06,0.8333333333333334,0.0,1.0,0.0,1.0,0.0,0.0,0.8406250000000004,1.0,0.0,0.6256983240223464,0.02788691902252037,0.8283
12,0,6,0.5,0.00022918576548045666,2,4,12,0.15507470376094795,0.0,0.07142857142857142,0.10595461525336973,0.10595461525336973,0.10595461525336973,0.5,1.7031265306495482e-05,0.8333333333333334,0.0,1.0,0.0,0.5,1.0,0.0,0.26249999999999996,0.4,0.0,0.30726256983240224,0.020651653090560614,0.3275
8,0,0,1.0,0.0015834652887740644,2,8,8,0.8248325605358063,0.0,0.0,0.2731615765227777,0.2731615765227777,0.27316157652277767,1.0,4.459857604431176e-05,1.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.47187500000000027,1.0,0.0,0.670391061452514,0.019789171058936274,0.8504
8,0,0,1.0,0.0015834652887740644,2,8,8,0.8248325605358063,0.0,0.0,0.2731615765227777,0.2731615765227777,0.27316157652277767,1.0,4.459857604431176e-05,1.0,0.0,1.0,0.6666666666666667,0.0,0.0,1.0,0.640625,1.0,1.0,0.659217877094972,0.021609966459032105,0.865
17,1,4,0.0,0.0009584132011000917,1,6,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002788204218388044,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.4125000000000001,0.1,0.0,0.111731843575419,0.038476281744130335,0.4256
